rivi_id,myymala,ketju,kunta,maakunta,alueosuuskauppa,aloituspaiva,aloitus_tarkkuus,lopetuspaiva,tila,huomiot,lahde_id
110,S-market Lukkarinsanta,S-market,Pori,Satakunta,Satakunnan Osuuskauppa,2024-11,kuukausi,,aktiivinen,Tiedote 18.11.2024 (osuuskaupan neljäs robotoimipaikka).,L25
111,Sale Opistonkatu,Sale,Kankaanpää,Satakunta,Satakunnan Osuuskauppa,2025-04,kuukausi,,aktiivinen,Kolme robottia; tiedote 17.4.2025 'aloittivat huhtikuussa'.,L26
112,Sale Lahdenkatu,Sale,Rauma,Satakunta,Osuuskauppa Keula,2023-09-07,päivä,,aktiivinen,"Alkuperäinen aloitus oli 19.6.2023, siirtyi Starshipin kartoitussyistä 7.9.2023.",L27;L71;L72
113,Sale Syväraumankatu,Sale,Rauma,Satakunta,Osuuskauppa Keula,2023-09-07,päivä,,aktiivinen,"Alkuperäinen aloitus oli 19.6.2023, siirtyi Starshipin kartoitussyistä 7.9.2023.",L27;L71;L72
114,Sale Kalliokatu,Sale,Rauma,Satakunta,Osuuskauppa Keula,2024-05,kuukausi,,aktiivinen,Tiedote 13.5.2024: laajennus toukokuun 2024 aikana.,L28
115,Sale Monnankatu,Sale,Rauma,Satakunta,Osuuskauppa Keula,2024-05,kuukausi,,aktiivinen,Tiedote 13.5.2024: laajennus toukokuun 2024 aikana.,L28
116,Sale Kauttua,Sale,Eura,Satakunta,Osuuskauppa Keula,2024-05,kuukausi,,aktiivinen,Tiedote 13.5.2024: laajennus toukokuun 2024 aikana.,L28
117,Sale Laitila,Sale,Laitila,Varsinais-Suomi,Osuuskauppa Keula,2024-05,kuukausi,,aktiivinen,Tiedote 13.5.2024: laajennus toukokuun 2024 aikana.,L28
118,S-market Savela,S-market,Jyväskylä,Keski-Suomi,Osuuskauppa Keskimaa,2023-06-20,päivä,,aktiivinen,Keskimaan robotit S-marketeista alusta asti (muissa osuuskaupoissa aluksi Sale/Alepa).,L29;L77
119,S-market Tourula,S-market,Jyväskylä,Keski-Suomi,Osuuskauppa Keskimaa,2023-06-20,päivä,2025-05-07,lopetettu,Robotit siirrettiin S-market Kuokkalaan 7.5.2025; Tourulan alueella pikatoimitukset jatkuvat Woltin kautta Mestarin Herkusta.,L29;L30;L73
120,S-market Kuokkala,S-market,Jyväskylä,Keski-Suomi,Osuuskauppa Keskimaa,2025-05-07,päivä,,aktiivinen,Korvasi S-market Tourulan robomyymälänä.,L30;L73
121,"S-market Herkku (Sokos Herkku, Valkea)",S-market / Sokos Herkku,Oulu,Pohjois-Pohjanmaa,Osuuskauppa Arina,2023-09-11,päivä,,aktiivinen,"Oulun ydinkeskusta. Aloitus viivästyi kesä-heinäkuusta, koska robotteja ei riittänyt pohjoiseen.",L31;L32
122,S-market Ritaharju,S-market,Oulu,Pohjois-Pohjanmaa,Osuuskauppa Arina,2024-06,kuukausi,,aktiivinen,"Kartoitusajot toukokuun lopussa 2024, tilaukset kesäkuun puoliväliin mennessä.",L32;L78
123,Sale Linnakangas,Sale,Kempele,Pohjois-Pohjanmaa,Osuuskauppa Arina,2024-06,kuukausi,,aktiivinen,"Kartoitusajot toukokuun lopussa 2024, tilaukset kesäkuun puoliväliin mennessä.",L32;L78
124,S-market Haukipudas,S-market,Oulu,Pohjois-Pohjanmaa,Osuuskauppa Arina,2025-05,kuukausi,,aktiivinen,,L33
125,S-market Oulunsalo,S-market,Oulu,Pohjois-Pohjanmaa,Osuuskauppa Arina,2025-05,kuukausi,,aktiivinen,,L33
126,Sale Lapinmaa,Sale,Rovaniemi,Lappi,Osuuskauppa Arina,2025-08-26,päivä,,aktiivinen,'Maailman pohjoisimmat robottikuljetukset'.,L34
127,S-market Talvitie,S-market,Rovaniemi,Lappi,Osuuskauppa Arina,2025-08-26,päivä,,aktiivinen,'Maailman pohjoisimmat robottikuljetukset'.,L34
128,S-market Jääli,S-market,Oulu,Pohjois-Pohjanmaa,Osuuskauppa Arina,2026-03,kuukausi,,aktiivinen,Tiedote 12.5.2026: käynnistyivät maaliskuussa 2026.,L35
129,S-market Liminka,S-market,Liminka,Pohjois-Pohjanmaa,Osuuskauppa Arina,2026-03,kuukausi,,aktiivinen,Tiedote 12.5.2026: käynnistyivät maaliskuussa 2026.,L35
130,S-market Pattijoki,S-market,Raahe,Pohjois-Pohjanmaa,Osuuskauppa Arina,2026-03,kuukausi,,aktiivinen,Tiedote 12.5.2026: käynnistyivät maaliskuussa 2026.,L35
131,S-market Muhos,S-market,Muhos,Pohjois-Pohjanmaa,Osuuskauppa Arina,2026-05,kuukausi,,aktiivinen,Tiedote 12.5.2026: käynnistyvät toukokuussa 2026.,L35
132,S-market Kaakkuri,S-market,Oulu,Pohjois-Pohjanmaa,Osuuskauppa Arina,2026-05,kuukausi,,aktiivinen,Tiedote 12.5.2026: käynnistyvät toukokuussa 2026.,L35
133,S-market Kiiminki,S-market,Oulu,Pohjois-Pohjanmaa,Osuuskauppa Arina,2026-05,kuukausi,,aktiivinen,Tiedote 12.5.2026: käynnistyvät toukokuussa 2026.,L35
134,S-market Saarenkylä,S-market,Rovaniemi,Lappi,Osuuskauppa Arina,2026-05,kuukausi,,aktiivinen,Tiedote 12.5.2026: käynnistyvät toukokuussa 2026.,L35
135,S-market Hiukkavaara,S-market,Oulu,Pohjois-Pohjanmaa,Osuuskauppa Arina,2026-05,kuukausi,,aktiivinen,Tiedote 12.5.2026: käynnistyvät toukokuussa 2026.,L35
136,S-market Kastelli,S-market,Oulu,Pohjois-Pohjanmaa,Osuuskauppa Arina,2026-06,kuukausi,,aktiivinen,Tiedote 12.5.2026: käynnistyvät kesäkuussa 2026.,L35
137,Sale Hintta,Sale,Oulu,Pohjois-Pohjanmaa,Osuuskauppa Arina,2026-06,kuukausi,,aktiivinen,Tiedote 12.5.2026: käynnistyvät kesäkuussa 2026.,L35
138,Sale Myllyoja,Sale,Oulu,Pohjois-Pohjanmaa,Osuuskauppa Arina,2026-06,kuukausi,,aktiivinen,Tiedote 12.5.2026: käynnistyvät kesäkuussa 2026.,L35
139,Sale Höyhtyä,Sale,Oulu,Pohjois-Pohjanmaa,Osuuskauppa Arina,2026-06,kuukausi,,aktiivinen,Tiedote 12.5.2026: käynnistyvät kesäkuussa 2026.,L35
140,Sale Maikkula,Sale,Oulu,Pohjois-Pohjanmaa,Osuuskauppa Arina,2026-06,kuukausi,,aktiivinen,Tiedote 12.5.2026: käynnistyvät kesäkuussa 2026.,L35
141,S-market Maljalahti,S-market,Kuopio,Pohjois-Savo,Osuuskauppa PeeÄssä,2024-05,kuukausi,,aktiivinen,Itä-Suomen ensimmäiset robotit (PeeÄssä: 'toukokuussa 2024'; ennakkotiedote 22.4.2024 'alkukesästä').,L36;L37;L38
142,S-market Keilankanta,S-market,Kuopio,Pohjois-Savo,Osuuskauppa PeeÄssä,2024-05,kuukausi,,aktiivinen,Itä-Suomen ensimmäiset robotit (PeeÄssä: 'toukokuussa 2024'; ennakkotiedote 22.4.2024 'alkukesästä').,L36;L37;L38
143,S-market Vuorela,S-market,Siilinjärvi,Pohjois-Savo,Osuuskauppa PeeÄssä,2024-05,kuukausi,,aktiivinen,Itä-Suomen ensimmäiset robotit (PeeÄssä: 'toukokuussa 2024'; ennakkotiedote 22.4.2024 'alkukesästä').,L36;L37;L38
144,S-market Puijonlaakso,S-market,Kuopio,Pohjois-Savo,Osuuskauppa PeeÄssä,2024-11-11,viikko,,aktiivinen,Viikko 46/2024. Robotteihin kohdistui ilkivaltaa Puijonlaaksossa (Yle 1/2025).,L37;L08
145,S-market Petonen,S-market,Kuopio,Pohjois-Savo,Osuuskauppa PeeÄssä,2024-11-11,viikko,,aktiivinen,Viikko 46/2024.,L37
146,S-market Ykkösrasti,S-market,Kuopio,Pohjois-Savo,Osuuskauppa PeeÄssä,2025-04,kuukausi,,aktiivinen,,L38;L39
147,S-market Iisalmi,S-market,Iisalmi,Pohjois-Savo,Osuuskauppa PeeÄssä,2025-06-09,päivä,,aktiivinen,,L38
148,S-market Kommila,S-market,Varkaus,Pohjois-Savo,Osuuskauppa PeeÄssä,2025-06-09,päivä,,aktiivinen,,L38
149,S-market Siilinjärvi,S-market,Siilinjärvi,Pohjois-Savo,Osuuskauppa PeeÄssä,2025-06-09,päivä,,aktiivinen,,L38
150,Sale Päiväranta,Sale,Kuopio,Pohjois-Savo,Osuuskauppa PeeÄssä,2025-06-09,päivä,,aktiivinen,Sale Päiväranta oli PeeÄssän ensimmäinen pienmyymälä robokuljetuksissa.,L38
151,S-market Raatikeskus,S-market,Kajaani,Kainuu,Osuuskauppa Maakunta,2025-06-02,päivä,,aktiivinen,Neljä robottia; laajennus asiakkaiden reaktiosta riippuen.,L40
152,Sale Hiidensalmi,Sale,Lohja,Uusimaa,Suur-Seudun Osuuskauppa (SSO),2023-12-18,päivä,,aktiivinen,SSO:n ensimmäinen robomyymälä (kahdeksas osuuskauppa).,L41
153,S-market Karkkila,S-market,Karkkila,Uusimaa,Suur-Seudun Osuuskauppa (SSO),2024-04-30,päivä,,aktiivinen,,L42
154,S-market Somero,S-market,Somero,Varsinais-Suomi,Suur-Seudun Osuuskauppa (SSO),2024-04-30,päivä,,aktiivinen,,L42
155,S-market Tupuri,S-market,Salo,Varsinais-Suomi,Suur-Seudun Osuuskauppa (SSO),2024-04-30,päivä,,aktiivinen,,L42
156,Sale Hermanni,Sale,Salo,Varsinais-Suomi,Suur-Seudun Osuuskauppa (SSO),2024-04-30,päivä,,aktiivinen,,L42
157,Sale Perttilä,Sale,Lohja,Uusimaa,Suur-Seudun Osuuskauppa (SSO),2024-04-30,päivä,,aktiivinen,,L42
158,S-market Tynninharju,S-market,Lohja,Uusimaa,Suur-Seudun Osuuskauppa (SSO),2024-04-30,päivä,,aktiivinen,,L42
159,Sale Nummela,Sale,Vihti,Uusimaa,Suur-Seudun Osuuskauppa (SSO),2025,arvio,,aktiivinen,"Mukana SSO:n yhdeksän robomyymälän listalla 6/2026, ei mainittu 4/2024 laajennuksessa → aloitus 5/2024–5/2026. Erillistä tiedotetta ei löydetty.",L43
160,Sale Paukkula,Sale,Salo,Varsinais-Suomi,Suur-Seudun Osuuskauppa (SSO),2026-06-09,päivä,,aktiivinen,Kunta tarkistettu (Salon Paukkulan kaupunginosa).,L43;L81
161,Sale Grani,Sale,Kauniainen,Uusimaa,Osuuskauppa Varuboden-Osla,2024-06,kuukausi,,aktiivinen,VBO:n ensimmäiset robotit 'kesäkuun alussa' 2024.,L44;L45
162,Sale Kantvik,Sale,Kirkkonummi,Uusimaa,Osuuskauppa Varuboden-Osla,2024-11-04,viikko,,aktiivinen,Viikko 45/2024.,L44
163,Sale Huhtinen,Sale,Porvoo,Uusimaa,Osuuskauppa Varuboden-Osla,2024-11-11,viikko,,aktiivinen,Viikko 46/2024.,L44
164,S-market Kevätkumpu,S-market,Porvoo,Uusimaa,Osuuskauppa Varuboden-Osla,2024-11-18,viikko,,aktiivinen,Viikko 47/2024.,L44
165,S-market Hanko,S-market,Hanko,Uusimaa,Osuuskauppa Varuboden-Osla,2025-03-24,viikko,,aktiivinen,Viikko 13/2025.,L45
166,S-market Masala,S-market,Kirkkonummi,Uusimaa,Osuuskauppa Varuboden-Osla,2025-03-31,viikko,,aktiivinen,Viikko 14/2025.,L45
167,Sale Lindal,Sale,Kirkkonummi,Uusimaa,Osuuskauppa Varuboden-Osla,2025-03-31,viikko,,aktiivinen,Viikko 14/2025.,L45
168,S-market Tammisaari,S-market,Raasepori,Uusimaa,Osuuskauppa Varuboden-Osla,2025-04-21,viikko,,aktiivinen,"Viikko 17/2025 (pääsiäisen jälkeen); myymälän nimeä ei mainittu tiedotteessa, Tammisaaressa on yksi S-market.",L45
169,S-market Siuntio,S-market,Siuntio,Uusimaa,Osuuskauppa Varuboden-Osla,2025-05-05,viikko,,aktiivinen,Viikko 19/2025.,L45
170,S-market Loviisa,S-market,Loviisa,Uusimaa,Osuuskauppa Varuboden-Osla,2025-05-12,viikko,,aktiivinen,Viikko 20/2025.,L45
171,S-market Karjaa,S-market,Raasepori,Uusimaa,Osuuskauppa Varuboden-Osla,2025-09-08,viikko,,aktiivinen,Viikko 37/2025.,L46
172,S-market Veikkola,S-market,Kirkkonummi,Uusimaa,Osuuskauppa Varuboden-Osla,2025-10,kuukausi,,aktiivinen,Lokakuu 2025 (ennen Söderkullaa).,L46;L47
173,S-market Söderkulla,S-market,Sipoo,Uusimaa,Osuuskauppa Varuboden-Osla,2025-10-21,päivä,,aktiivinen,VBO:n 13. robomyymälä.,L47
174,S-market Nikkilä,S-market,Sipoo,Uusimaa,Osuuskauppa Varuboden-Osla,2026-04-13,viikko,,aktiivinen,Viikko 16/2026.,L48
175,Sale Pornainen,Sale,Pornainen,Uusimaa,Osuuskauppa Varuboden-Osla,2026-05-11,viikko,,aktiivinen,Viikko 20/2026.,L49
176,Sale Askola,Sale,Askola,Uusimaa,Osuuskauppa Varuboden-Osla,2026-05-18,viikko,,aktiivinen,Viikko 21/2026.,L49
177,S-market Inkoo,S-market,Inkoo,Uusimaa,Osuuskauppa Varuboden-Osla,2026-05-25,viikko,,aktiivinen,Viikko 22/2026. Tämän jälkeen robokuljetus yli puolessa VBO:n ruokakaupoista.,L49
178,S-market Hirsimäki,S-market,Riihimäki,Kanta-Häme,Osuuskauppa Hämeenmaa,2025-05-14,päivä,,aktiivinen,,L50
179,S-market Jukola,S-market,Hämeenlinna,Kanta-Häme,Osuuskauppa Hämeenmaa,2025-05-14,päivä,,aktiivinen,,L50
180,S-market Forssa,S-market,Forssa,Kanta-Häme,Osuuskauppa Hämeenmaa,2025-05-14,päivä,,aktiivinen,,L50
181,S-market Ankkuri,S-market,Lahti,Päijät-Häme,Osuuskauppa Hämeenmaa,2025-05-15,päivä,,aktiivinen,,L50
182,S-market Heinoska,S-market,Heinola,Päijät-Häme,Osuuskauppa Hämeenmaa,2025-05-15,päivä,,aktiivinen,,L50
183,S-market Ahtiala,S-market,Lahti,Päijät-Häme,Osuuskauppa Hämeenmaa,2025-12-17,päivä,,aktiivinen,,L51
184,S-market Vääksy,S-market,Asikkala,Päijät-Häme,Osuuskauppa Hämeenmaa,2026-06,kuukausi,,aktiivinen,Tiedote 3.6.2026: aloittavat kesäkuussa 2026.,L52;L53
185,S-market Parola,S-market,Hattula,Kanta-Häme,Osuuskauppa Hämeenmaa,2026-06,kuukausi,,aktiivinen,Tiedote 3.6.2026: aloittavat kesäkuussa 2026.,L52;L53
186,S-market Tervakoski,S-market,Janakkala,Kanta-Häme,Osuuskauppa Hämeenmaa,2026-06,kuukausi,,aktiivinen,Tiedote 3.6.2026: aloittavat kesäkuussa 2026.,L52;L53
187,Sale Ersta,Sale,Lahti,Päijät-Häme,Osuuskauppa Hämeenmaa,2026-08-11,päivä,,aktiivinen,,L53
188,S-market Kiveriö,S-market,Lahti,Päijät-Häme,Osuuskauppa Hämeenmaa,2026-08-11,päivä,,aktiivinen,,L53
189,S-market Tammela,S-market,Tammela,Kanta-Häme,Osuuskauppa Hämeenmaa,2026-08-11,päivä,,aktiivinen,,L53
190,S-market Iittala,S-market,Hämeenlinna,Kanta-Häme,Osuuskauppa Hämeenmaa,2026-08-18,päivä,,aktiivinen,,L53
191,S-market Jalkaranta,S-market,Lahti,Päijät-Häme,Osuuskauppa Hämeenmaa,2026-09-08,päivä,,aktiivinen,,L53
192,Sale Hirssaari,Sale,Kotka,Kymenlaakso,Kymen Seudun Osuuskauppa (KSO),2024-05-28,päivä,,aktiivinen,,L54;L55
193,Sale Eskolanmäki (13.5.2025 alkaen S-market Eskolanmäki),Sale → S-market,Kouvola,Kymenlaakso,Kymen Seudun Osuuskauppa (KSO),2024-05-28,päivä,,aktiivinen,Myymälä muuttui S-marketiksi 13.5.2025; robokuljetus jatkui.,L54;L56
194,S-market Koria,S-market,Kouvola,Kymenlaakso,Kymen Seudun Osuuskauppa (KSO),2024-09-11,päivä,,aktiivinen,,L55
195,S-market Karhula,S-market,Kotka,Kymenlaakso,Kymen Seudun Osuuskauppa (KSO),2024-09-11,päivä,,aktiivinen,,L55
196,S-market Hamina,S-market,Hamina,Kymenlaakso,Kymen Seudun Osuuskauppa (KSO),2025-05-27,päivä,,aktiivinen,,L56
197,S-market Karhuvuori,S-market,Kotka,Kymenlaakso,Kymen Seudun Osuuskauppa (KSO),2025-05-27,päivä,,aktiivinen,,L56
198,S-market Lehtomäki,S-market,Kouvola,Kymenlaakso,Kymen Seudun Osuuskauppa (KSO),2025-05-27,päivä,,aktiivinen,,L56
199,S-market Myllykoski,S-market,Kouvola,Kymenlaakso,Kymen Seudun Osuuskauppa (KSO),2025-05-27,päivä,,aktiivinen,,L56
200,Sale Pyhtää,Sale,Pyhtää,Kymenlaakso,Kymen Seudun Osuuskauppa (KSO),2025-06-04,päivä,,aktiivinen,,L56
201,S-market Kuusaankeskus,S-market,Kouvola,Kymenlaakso,Kymen Seudun Osuuskauppa (KSO),2025-06-04,päivä,,aktiivinen,,L56
202,S-market Valkeala,S-market,Kouvola,Kymenlaakso,Kymen Seudun Osuuskauppa (KSO),2025-06-04,päivä,,aktiivinen,,L56
203,S-market Sammonlahti,S-market,Lappeenranta,Etelä-Karjala,Etelä-Karjalan Osuuskauppa (Eekoo),2024-05-24,viikko,,aktiivinen,"Etelä-Karjalan ensimmäiset robotit; tutustumistarjous 24.5.–22.6.2024, esittely medialle 24.5.2024.",L57;L75
204,S-market Pallo,S-market,Lappeenranta,Etelä-Karjala,Etelä-Karjalan Osuuskauppa (Eekoo),2024-11,kuukausi,,aktiivinen,Marraskuun kolmannesta viikosta 2024 alkaen.,L58;L76
205,S-market Joutseno,S-market,Lappeenranta,Etelä-Karjala,Etelä-Karjalan Osuuskauppa (Eekoo),2024-11,kuukausi,,aktiivinen,Marraskuun kolmannesta viikosta 2024 alkaen.,L58;L76
206,S-market Vuoksenniska,S-market,Imatra,Etelä-Karjala,Etelä-Karjalan Osuuskauppa (Eekoo),2024-11,kuukausi,,aktiivinen,Marraskuun kolmannesta viikosta 2024 alkaen.,L58;L76
207,S-market Kourula,S-market,Lappeenranta,Etelä-Karjala,Etelä-Karjalan Osuuskauppa (Eekoo),2026-06-29,päivä,,aktiivinen,,L59
208,S-market Imatrankoski,S-market,Imatra,Etelä-Karjala,Etelä-Karjalan Osuuskauppa (Eekoo),2026,arvio,,aktiivinen,Mainittu 26.6.2026 tiedotteessa jo toimivana robomyymälänä; ei mukana 11/2024 laajennuksessa → aloitus 12/2024–6/2026. Erillistä tiedotetta ei löydetty.,L59
209,S-market Lauritsala,S-market,Lappeenranta,Etelä-Karjala,Etelä-Karjalan Osuuskauppa (Eekoo),2026,arvio,,aktiivinen,Mainittu 26.6.2026 tiedotteessa jo toimivana robomyymälänä; ei mukana 11/2024 laajennuksessa → aloitus 12/2024–6/2026. Erillistä tiedotetta ei löydetty.,L59
210,S-market Peitsari,S-market,Mikkeli,Etelä-Savo,Osuuskauppa Suur-Savo,2024-06-18,päivä,,aktiivinen,,L60;L61
211,S-market Rantakylä,S-market,Mikkeli,Etelä-Savo,Osuuskauppa Suur-Savo,2024-06-18,päivä,,aktiivinen,,L60;L61
212,Sale Nuijamies,Sale,Mikkeli,Etelä-Savo,Osuuskauppa Suur-Savo,2024-06-18,päivä,,aktiivinen,,L60;L61
213,S-market Urpola,S-market,Mikkeli,Etelä-Savo,Osuuskauppa Suur-Savo,2024-08,kuukausi,,aktiivinen,Tiedote 6/2024: laajenee elokuussa 2024 Urpolaan.,L60
214,Sale Savisilta,Sale,Mikkeli,Etelä-Savo,Osuuskauppa Suur-Savo,2024-11,kuukausi,,aktiivinen,,L61
215,S-market Laitaatsilta,S-market,Savonlinna,Etelä-Savo,Osuuskauppa Suur-Savo,2024-11,kuukausi,,aktiivinen,,L61
216,Sale Kontiopuisto,Sale,Pieksämäki,Etelä-Savo,Osuuskauppa Suur-Savo,2024-11,kuukausi,2025-01,lopetettu,Lopetettiin parin kuukauden jälkeen ilkivallan vuoksi (Yle 23.1.2025). Lopetuskuukausi arvio.,L61;L08
217,S-market Juva,S-market,Juva,Etelä-Savo,Osuuskauppa Suur-Savo,2025-05-27,päivä,,aktiivinen,Ympärivuotinen.,L61
218,Sale Puumala,Sale,Puumala,Etelä-Savo,Osuuskauppa Suur-Savo,2025-05-27,päivä,,kausikokeilu,"Kesäkokeilu 'ainakin kesäkauden 2025 ajan' (n. 2 000 asukkaan kunta, veneilijät). Yle 27.8.2026 mainitsee robottien kulkeneen Puumalassa kesällä – jatko kesällä 2026 varmistettava.",L61;L62
219,Sale Kanervala,Sale,Joensuu,Pohjois-Karjala,Pohjois-Karjalan Osuuskauppa (PKO),2026-09-01,päivä,,aktiivinen,Pohjois-Karjala oli Manner-Suomen viimeinen maakunta ilman ruokarobotteja; testiajot elokuussa 2026.,L62
220,S-market Jouppi,S-market,Seinäjoki,Etelä-Pohjanmaa,Etelä-Pohjanmaan Osuuskauppa (Eepee),2025-06,kuukausi,,aktiivinen,Eepeen ensimmäiset robomyymälät kesäkuussa 2025.,L63;L67
221,S-market Kivistö,S-market,Seinäjoki,Etelä-Pohjanmaa,Etelä-Pohjanmaan Osuuskauppa (Eepee),2025-06,kuukausi,,aktiivinen,Eepeen ensimmäiset robomyymälät kesäkuussa 2025.,L63;L67
222,S-market Tanelinranta,S-market,Seinäjoki,Etelä-Pohjanmaa,Etelä-Pohjanmaan Osuuskauppa (Eepee),2025-06,kuukausi,,aktiivinen,Eepeen ensimmäiset robomyymälät kesäkuussa 2025.,L63;L67
223,S-market Simuna,S-market,Seinäjoki,Etelä-Pohjanmaa,Etelä-Pohjanmaan Osuuskauppa (Eepee),2025-06,kuukausi,,aktiivinen,Eepeen ensimmäiset robomyymälät kesäkuussa 2025.,L63;L67
224,S-market Pajuluoma,S-market,Seinäjoki,Etelä-Pohjanmaa,Etelä-Pohjanmaan Osuuskauppa (Eepee),2025-06,kuukausi,,aktiivinen,Eepeen ensimmäiset robomyymälät kesäkuussa 2025.,L63;L67
225,S-market Alavus,S-market,Alavus,Etelä-Pohjanmaa,Etelä-Pohjanmaan Osuuskauppa (Eepee),2026-06,arvio,,aktiivinen,Tiedote 5.5.2026: 'alkukesästä 2026'; 18.8.2026 tiedote vahvistaa toteutuneen kesällä 2026. Itikanristeys on 4.6.2026 avattu uusi 24 h S-market.,L64;L65;L66
226,S-market Ilmajoki,S-market,Ilmajoki,Etelä-Pohjanmaa,Etelä-Pohjanmaan Osuuskauppa (Eepee),2026-06,arvio,,aktiivinen,Tiedote 5.5.2026: 'alkukesästä 2026'; 18.8.2026 tiedote vahvistaa toteutuneen kesällä 2026. Itikanristeys on 4.6.2026 avattu uusi 24 h S-market.,L64;L65;L66
227,S-market Kauhajoki,S-market,Kauhajoki,Etelä-Pohjanmaa,Etelä-Pohjanmaan Osuuskauppa (Eepee),2026-06,arvio,,aktiivinen,Tiedote 5.5.2026: 'alkukesästä 2026'; 18.8.2026 tiedote vahvistaa toteutuneen kesällä 2026. Itikanristeys on 4.6.2026 avattu uusi 24 h S-market.,L64;L65;L66
228,S-market Kurikka,S-market,Kurikka,Etelä-Pohjanmaa,Etelä-Pohjanmaan Osuuskauppa (Eepee),2026-06,arvio,,aktiivinen,Tiedote 5.5.2026: 'alkukesästä 2026'; 18.8.2026 tiedote vahvistaa toteutuneen kesällä 2026. Itikanristeys on 4.6.2026 avattu uusi 24 h S-market.,L64;L65;L66
229,S-market Lapua,S-market,Lapua,Etelä-Pohjanmaa,Etelä-Pohjanmaan Osuuskauppa (Eepee),2026-06,arvio,,aktiivinen,Tiedote 5.5.2026: 'alkukesästä 2026'; 18.8.2026 tiedote vahvistaa toteutuneen kesällä 2026. Itikanristeys on 4.6.2026 avattu uusi 24 h S-market.,L64;L65;L66
230,S-market Ähtäri,S-market,Ähtäri,Etelä-Pohjanmaa,Etelä-Pohjanmaan Osuuskauppa (Eepee),2026-06,arvio,,aktiivinen,Tiedote 5.5.2026: 'alkukesästä 2026'; 18.8.2026 tiedote vahvistaa toteutuneen kesällä 2026. Itikanristeys on 4.6.2026 avattu uusi 24 h S-market.,L64;L65;L66
231,S-market Itikanristeys,S-market,Seinäjoki,Etelä-Pohjanmaa,Etelä-Pohjanmaan Osuuskauppa (Eepee),2026-06,arvio,,aktiivinen,Tiedote 5.5.2026: 'alkukesästä 2026'; 18.8.2026 tiedote vahvistaa toteutuneen kesällä 2026. Itikanristeys on 4.6.2026 avattu uusi 24 h S-market.,L64;L65;L66
232,S-market Törnävä,S-market,Seinäjoki,Etelä-Pohjanmaa,Etelä-Pohjanmaan Osuuskauppa (Eepee),2026-06,arvio,,aktiivinen,Tiedote 5.5.2026: 'alkukesästä 2026'; 18.8.2026 tiedote vahvistaa toteutuneen kesällä 2026. Itikanristeys on 4.6.2026 avattu uusi 24 h S-market.,L64;L65;L66
233,S-market Jalasjärvi,S-market,Kurikka,Etelä-Pohjanmaa,Etelä-Pohjanmaan Osuuskauppa (Eepee),2026-08-31,päivä,,aktiivinen,,L65;L66;L67
234,S-market Kristiinankaupunki,S-market,Kristiinankaupunki,Pohjanmaa,Etelä-Pohjanmaan Osuuskauppa (Eepee),2026-08-31,päivä,,aktiivinen,,L65;L66;L67
235,S-market Närpiö,S-market,Närpiö,Pohjanmaa,Etelä-Pohjanmaan Osuuskauppa (Eepee),2026-08-31,päivä,,aktiivinen,,L65;L66;L67
236,S-market Teuva,S-market,Teuva,Etelä-Pohjanmaa,Etelä-Pohjanmaan Osuuskauppa (Eepee),2026-08-31,päivä,,aktiivinen,,L65;L66;L67
237,S-market Alajärvi,S-market,Alajärvi,Etelä-Pohjanmaa,Etelä-Pohjanmaan Osuuskauppa (Eepee),2026-09-15,päivä,,aktiivinen,Aloitus tietokannan kokoamispäivänä 15.9.2026.,L65;L66;L67
238,S-market Alakylä,S-market,Seinäjoki,Etelä-Pohjanmaa,Etelä-Pohjanmaan Osuuskauppa (Eepee),2026-09-15,päivä,,aktiivinen,Aloitus tietokannan kokoamispäivänä 15.9.2026.,L65;L66;L67
239,S-market Kauhava,S-market,Kauhava,Etelä-Pohjanmaa,Etelä-Pohjanmaan Osuuskauppa (Eepee),2026-09-15,päivä,,aktiivinen,Aloitus tietokannan kokoamispäivänä 15.9.2026.,L65;L66;L67
240,S-market Ylistaro,S-market,Seinäjoki,Etelä-Pohjanmaa,Etelä-Pohjanmaan Osuuskauppa (Eepee),2026-09-15,päivä,,aktiivinen,Aloitus tietokannan kokoamispäivänä 15.9.2026.,L65;L66;L67
241,S-market Halkokari,S-market,Kokkola,Keski-Pohjanmaa,Osuuskauppa KPO,2025-09-03,päivä,,aktiivinen,KPO:n ensimmäiset robomyymälät.,L68;L69
242,S-market Kallentori,S-market,Kokkola,Keski-Pohjanmaa,Osuuskauppa KPO,2025-09-03,päivä,,aktiivinen,KPO:n ensimmäiset robomyymälät.,L68;L69
243,S-market Nivala,S-market,Nivala,Pohjois-Pohjanmaa,Osuuskauppa KPO,2025-09-03,päivä,,aktiivinen,KPO:n ensimmäiset robomyymälät.,L68;L69
244,S-market Pietarsaari,S-market,Pietarsaari,Pohjanmaa,Osuuskauppa KPO,2025-09-03,päivä,,aktiivinen,KPO:n ensimmäiset robomyymälät.,L68;L69
245,S-market Gerby,S-market,Vaasa,Pohjanmaa,Osuuskauppa KPO,2025-09-03,päivä,,aktiivinen,KPO:n ensimmäiset robomyymälät.,L68;L69
246,S-market Ristinummi,S-market,Vaasa,Pohjanmaa,Osuuskauppa KPO,2025-09-03,päivä,,aktiivinen,KPO:n ensimmäiset robomyymälät.,L68;L69
